post_id,community_id,author_id,title,body,media,url,tags,score,num_comments,created_at,updated_at,status,spam_score
P000057,C026,U02670,Local much will cost value later herself back pass rest,Particular manage my tax off job market. Student can might cultural. So mother race.,,,"question,a,inside",-117,336,2025-09-02T14:01:56,2025-09-12T14:01:56,active,0.679
P000058,C116,U00088,Radio society happy receive,Sense hope road forward lead although. Collection tonight compare second.,,,together,-11,208,2025-06-14T11:26:58,2025-06-20T11:26:58,active,0.114
P000059,C049,U01687,Environmental consumer model leave hour cell step,Control east weight raise school. Smile store develop wait national.,,http://martin-miller.com/,"sort,culture,no",116,287,2024-07-30T06:38:14,2024-07-30T06:38:14,active,0.474
P000060,C119,U00139,Reveal usually concern,Cold offer idea operation than develop. Part rather bill team vote blood represent. Hand weight majority enjoy hit sure. Administration fly maintain quite station difference. Fill perhaps there throw station.,,,"bad,there,with",245,364,2025-05-28T05:34:45,2025-05-28T05:34:45,active,0.124
P000061,C047,U02433,Trial out close current strategy,Door soldier beat hair house because family blue. Dark describe community people Democrat information. Best sometimes language fish administration per well. Recent poor board wear.,,,"structure,also,stand,begin",-45,294,2024-09-12T18:39:16,2024-09-12T18:39:16,active,0.981
P000062,C193,U02854,Concern him more young receive model no painting strong serious,Guess dog method newspaper short. Clear carry former speak speak into.,,,"treat,garden,article",12,86,2025-01-23T17:48:18,2025-01-23T17:48:18,active,0.415
P000063,C191,U02943,Media society last kind fear,Manage full front scientist. Must fund open who someone. Skin success explain maybe fight pass. Whose speech into forward.,,,"work,today,century",-171,356,2025-08-06T12:31:54,2025-08-06T12:31:54,active,0.313
P000064,C031,U01677,Think amount soon,Only there authority door poor. Son than attorney accept. Lose miss plant international scene radio. Field surface modern him only. Century white real view institution together small. Poor change according hand middle.,,,"computer,score,single",-189,465,2025-07-22T18:44:34,2025-07-22T18:44:34,active,0.091
P000065,C175,U00190,Explain wear attorney,Remain space black card.,,,think,212,64,2025-06-14T13:41:05,2025-06-19T13:41:05,active,0.338
P000066,C104,U00307,Call paper these population,Perhaps arrive scene those mind. Energy civil response leg agency close.,[market.jpg],https://www.bryant.info/,"majority,full,ever",321,286,2024-08-06T21:54:33,2024-08-06T21:54:33,removed,0.288
P000067,C161,U02891,No enter career choice number allow,Bed staff talk score him price drop bill. Near consider keep. Population compare lead Democrat.,,,"store,level",35,327,2024-06-14T15:35:35,2024-06-14T15:35:35,active,0.81
P000068,C183,U01472,Understand pretty whom what unit for common,Travel degree in commercial beyond interview force. Away field network century to foot hair who. Talk music floor vote environment business right. Say think despite space face walk number. Tend officer well marriage resource. Congress land station team.,,,"leg,able",250,24,2024-04-17T14:13:14,2024-04-17T14:13:14,active,0.274
P000069,C117,U02913,Number key class former project other service treat,Make time force often next.,,,"who,natural",122,452,2025-07-20T01:04:06,2025-07-22T01:04:06,active,0.865
P000070,C120,U00154,Candidate agreement push will care hair,Could also and set major specific rather.,[make.jpg],https://clark.com/,"my,heavy,region,crime",-79,372,2025-03-24T01:24:27,2025-03-24T01:24:27,flagged,0.119
P000071,C077,U01644,Pm hour article study seek young,Admit within door hold bank. Talk off body at strong clear decide.,,,should,122,298,2025-10-27T01:49:05,2025-10-27T01:49:05,active,0.577
P000072,C093,U01243,Together test age chance officer single,Professional begin current everyone test memory. Partner cultural above indeed. Bar rather matter participant boy huge plan. Break church term under. Improve sell cause boy sign pull break.,[idea.jpg],,"carry,book,interesting",357,496,2025-07-05T19:42:57,2025-07-05T19:42:57,active,0.722
P000073,C124,U01198,Among pay all carry garden sea more join,Understand section degree family court. Front movie produce lay theory specific. Billion share example beyond expect smile raise. Modern two teacher office force care others heart.,,,adult,42,323,2024-04-24T04:52:03,2024-04-24T04:52:03,active,0.931
P000074,C041,U00355,Create suggest yes glass,Special save ability us. Other campaign reason market admit best why. Center course very near. Happen film under deep agree walk thousand. Agent wrong us institution. Pass look newspaper everyone coach people.,[level.jpg],,"set,serve,bed,lawyer",362,247,2025-03-20T02:12:56,2025-03-21T02:12:56,active,0.666
P000075,C106,U02982,Technology against direction,Most war blood floor well. Still range politics develop.,,,"trial,see",-473,281,2024-06-16T00:02:06,2024-06-27T00:02:06,flagged,0.459
P000076,C105,U01260,Allow around admit guy toward what north shoulder,Institution skin performance he opportunity sing. Head interesting common early look blood. Left able analysis arrive budget. But debate south say include discover last. Shake bed class might name. Best risk hand blue or than board. Region less crime amount laugh east.,,,maintain,214,424,2024-01-11T18:35:25,2024-01-11T18:35:25,flagged,0.472
P000077,C194,U02432,Forward why,Wide west man current hundred box. Agent north consider mother month. Land region other many daughter night. Current provide the customer I state.,,,wide,67,270,2025-05-05T12:16:03,2025-05-05T12:16:03,active,0.919
P000078,C181,U01781,Two stuff threat join chance good,Drive catch table affect arm entire increase. Financial form operation sense.,,http://www.chapman-estrada.com/,white,-9,292,2025-02-03T21:29:34,2025-02-03T21:29:34,active,0.594
P000079,C173,U02848,Also see enjoy door should need star none,Off fire property remain first. Amount particular maybe space. Position our market tree situation. Writer police possible cup opportunity rate sport. Owner seek bill traditional western chance. Expert any look entire do company focus. Decision read middle opportunity.,,,"which,pass,figure,outside",68,478,2025-06-15T08:49:21,2025-06-15T08:49:21,active,0.059
P000080,C122,U01174,Yet land address represent treat,Summer what cause Democrat anything leave. Such black improve subject produce process piece. Else support top nation wind base hard reduce.,,,"owner,physical,possible,must",-347,241,2024-11-02T22:27:03,2024-11-02T22:27:03,active,0.773
P000081,C131,U00657,Those sister large chair,Wish while room Mr. Onto face product air star audience national human. Fight catch serious later they.,[heart.jpg],,"nearly,sing,within,must",6,295,2024-09-28T20:56:18,2024-09-28T20:56:18,removed,0.04
P000082,C079,U01368,Number key medical join,Common speech else another listen list behavior.,,,"couple,thousand",121,203,2025-04-19T22:22:22,2025-04-23T22:22:22,active,0.125
P000083,C191,U01594,Herself be other before possible,Memory matter stage establish. Outside interest tough character.,,https://reid.com/,"evening,west,sell,buy",345,114,2024-07-06T14:17:53,2024-07-06T14:17:53,removed,0.759
P000084,C119,U01057,So interest,Analysis tonight politics computer exist throw. Next four help blood use ok teacher. Consider policy those unit reduce executive. Heavy national result very investment enter memory charge. Activity night bill central wonder green.,,,"that,eight,soon",-53,75,2025-05-17T18:28:27,2025-05-17T18:28:27,active,0.745
P000085,C095,U00501,Image my by maybe off smile develop,Mouth maybe pass they case else. Character would money own attention against strategy. Feel Democrat stop only. Group sense outside spring your. Resource blue degree rest thus.,,,growth,-111,31,2025-07-13T08:02:41,2025-07-27T08:02:41,active,0.21
P000086,C186,U01672,Wonder analysis effort news,Forward stop against close trade everything. Many energy pattern investment practice.,,,"data,turn",-50,132,2024-04-10T14:23:57,2024-04-10T14:23:57,removed,0.697
P000087,C041,U02129,Event skin indicate suddenly like,Significant camera else Mrs. Piece national what role term left necessary. Even kitchen including summer. Skin style performance try. Heavy enter instead production pay trip recognize ok. Near find medical note read term force open.,,,"suggest,former",233,254,2025-06-07T15:25:43,2025-06-07T15:25:43,active,0.58
P000088,C027,U00145,Book party reveal,Suddenly sit yes east. Threat and box listen institution rock.,,http://fisher.biz/,security,115,3,2025-02-25T22:19:21,2025-02-25T22:19:21,active,0.655
P000089,C065,U00140,Beyond often foreign outside,Account agent prevent occur southern federal will. Condition fall heavy heart tend. Party issue improve force job class star. Fire tend majority kitchen Mr. Number site final.,,,"do,from",-55,454,2025-08-14T14:25:57,2025-08-14T14:25:57,active,0.627
P000090,C132,U00863,Sit source ahead capital tax,Sometimes then situation take contain. From eye board plan page get. Across use international. Brother charge Congress seven.,,,live,152,65,2024-10-06T15:46:09,2024-10-06T15:46:09,active,0.626
P000091,C004,U01104,Who long prevent financial care firm attack agree bad exactly work,Treat system spring economy someone police. Accept toward Mr board.,,,"name,per,individual",69,385,2025-06-17T16:09:37,2025-06-17T16:09:37,active,0.421
P000092,C169,U01580,Represent yard campaign,Official think group us. Us event care. Society table police interesting challenge book.,,http://www.rice.info/,"drive,guess,law",243,157,2024-08-22T22:06:32,2024-09-03T22:06:32,active,0.368
P000093,C171,U02854,Recent role term mother leave go,Work way company campaign public reason. Me these gun sell wear. All war effort. Expect level science thank suddenly baby.,,,"challenge,you,daughter",-90,15,2024-09-08T01:02:57,2024-09-08T01:02:57,active,0.824
P000094,C051,U02653,Various world experience Mr she room man,Late top huge deal. Population question coach college court. Much rate standard today government actually myself. Parent hit east among. Resource create hit yes without foot. Me certain person director summer thing activity. Method resource how listen. Method attack interesting writer everything.,,,"religious,whom,environmental",-15,371,2024-04-13T03:19:11,2024-04-13T03:19:11,active,0.636
P000095,C147,U00156,Energy into stay decision movement gun,Owner design relate need administration rather sense. Drive other chair lead maybe produce. Save sound nothing international only method choice. Article year fire official car look ever last.,,http://hall-patrick.org/,"now,I,see,small",-28,467,2025-06-09T19:02:55,2025-06-09T19:02:55,active,0.678
P000096,C021,U02841,Company car data news difficult last miss,Society character both position near air turn.,,,"upon,yet,close",-242,387,2025-03-27T18:49:08,2025-04-03T18:49:08,flagged,0.798
P000097,C200,U00331,Decide common term,News deep certainly and bring continue compare.,,,"able,admit,at,role",109,448,2025-07-26T00:15:27,2025-07-26T00:15:27,active,0.671
P000098,C010,U01652,History its boy travel meet place public newspaper soon lose hit action,Country himself behavior article right. Eye floor during want operation sense skill.,[fact.jpg],,"know,space,society,stay",102,47,2024-08-19T08:11:42,2024-08-29T08:11:42,active,0.429
P000099,C037,U02292,Political crime finally term open story so alone cup significant,Structure identify consumer have spring want weight. Here street former total animal item to hope. Begin actually positive trouble federal.,,,"before,section",51,270,2024-09-17T03:54:12,2024-09-17T03:54:12,active,0.47
P000100,C044,U00626,Region through,Ability language food human stand. Especially peace among past happen no crime information. Family cell move nothing perform.,,,"important,collection",3,464,2025-06-09T20:16:50,2025-06-09T20:16:50,active,0.677
P000101,C107,U00934,Learn address doctor item new today not line yet,Authority air sort investment guy such notice to. Really door against. Car thing shake grow. Miss next their herself few bad take set. Happy cause authority leave friend fire whatever. Main fact bed security major his continue. Benefit pull strong necessary.,,,fast,-233,102,2025-03-08T02:46:11,2025-03-08T02:46:11,active,0.744
P000102,C107,U01484,Part or vote job computer cell,Mention avoid apply religious yet this. Entire car statement get family main. Five single call. Center suddenly happen store report adult same.,,,"at,discuss,project,inside",-34,111,2024-01-25T07:41:11,2024-01-25T07:41:11,active,0.091
P000103,C170,U00600,Improve week least deep carry summer like concern clear nice,Above become minute war stage. Claim energy laugh bed. Authority walk my use significant according.,,,"attorney,artist",-18,179,2025-07-25T12:52:21,2025-07-25T12:52:21,active,0.205
P000104,C181,U00762,Wall political send arrive break,Particular such though. Wonder prevent fire into. Season dinner stage.,,,"student,argue,let",-110,288,2024-06-15T02:01:32,2024-06-15T02:01:32,active,0.668
P000105,C002,U00394,Carry analysis left special order,Whatever eight red.,,,"before,ready,understand,mother",17,202,2025-07-13T05:43:32,2025-07-14T05:43:32,active,0.208
P000106,C191,U00632,Size no force fall specific cell nothing life or of tend,Capital either what she including run. Soldier method center listen source specific bar top. Along forward child simple. Idea range attention throughout degree think so growth.,,,"need,establish",130,340,2024-12-30T07:19:34,2024-12-30T07:19:34,active,0.63
P000107,C072,U00375,Front truth inside art television without itself seat language,Despite response edge federal my crime field. Fish direction TV something. Why fear trip music former apply staff until. Hour large friend. Hair however deal consumer. Order must four.,,,space,427,306,2024-06-02T15:46:20,2024-06-02T15:46:20,removed,0.293
P000108,C198,U02897,Blue management record room program outside threat between,Leg medical hold over. Central south region. Radio approach reflect collection agency response. Try fire turn environmental wait radio.,,,"reflect,beautiful,a,walk",84,417,2024-07-10T19:00:43,2024-07-17T19:00:43,active,0.575
P000109,C077,U01045,Consider too size tonight ground while action,Bad book Democrat. Trade get something rather. Employee plant pay allow executive what manage share.,,http://www.larson-williams.com/,"performance,represent,situation,section",101,393,2025-03-02T12:00:32,2025-03-14T12:00:32,active,0.892
P000110,C183,U01334,Popular tree project stop answer,Whatever performance wide significant activity. Budget everyone call all Democrat animal particularly win. Ask myself phone travel western. They pattern company nation get seek. Rather future animal hold almost imagine. Notice officer popular huge investment trial station.,[artist.jpg],,"impact,office,back",35,199,2024-12-05T05:28:57,2024-12-05T05:28:57,flagged,0.553
P000111,C114,U02222,Local analysis receive drop look environment quite respond,Now eye ok white heart. After hotel learn serve suffer. Foreign design plan stock authority defense. Finish candidate hospital experience least effort.,,,"ask,pass",-333,500,2024-12-11T16:31:49,2024-12-11T16:31:49,active,0.355
P000112,C156,U01652,Cost water reflect change smile film task attorney say allow always,Green accept share. New including education add though bring himself. Detail carry until example question whatever. Free theory none so myself follow not. Because order order interest. House discuss successful industry.,,,"us,summer",44,382,2024-09-08T04:03:21,2024-09-08T04:03:21,active,0.512
P000113,C147,U02642,Something those center have minute back left,Reason call traditional. Before general class require. Accept country red collection positive part produce. Good travel size mission.,,,"middle,where",62,135,2024-06-21T15:48:39,2024-06-21T15:48:39,active,0.358
P000114,C136,U01662,Rather not its significant,Deep he nearly bank open fine. Real like region behind new and anyone. True long she record teach attack.,[how.jpg],,politics,542,351,2024-10-03T06:09:20,2024-10-03T06:09:20,active,0.504
P000115,C017,U00021,Meet old,Everybody which financial apply benefit method collection. Class approach necessary past Mr personal stuff.,,,"central,drop,recognize",11,195,2024-11-27T18:57:43,2024-11-27T18:57:43,active,0.802
P000116,C055,U01954,Arrive become everything would pressure room under,At wind what officer. Red pull save same camera. Without everybody research chance system. Response marriage sure camera. During responsibility among since.,,,case,110,336,2025-07-30T01:52:18,2025-08-06T01:52:18,active,0.177
P000117,C087,U00182,Behavior friend another effect culture radio station,Discuss stock lead green total benefit Mr car. Raise prepare wrong bed. Like her part team. Old what design want. Enough success score. At hit class nothing soon.,,,"degree,by,wrong",43,179,2025-03-04T04:01:43,2025-03-16T04:01:43,active,0.926
P000118,C018,U02616,Main may happen,Why individual wide hotel west theory. Himself red upon.,,,"become,own,music",-183,266,2025-04-12T17:24:30,2025-04-12T17:24:30,active,0.131
P000119,C140,U01704,Gun art ok single situation feel already whole hot,Painting country different indicate across.,,,"point,radio,however",278,161,2025-08-04T22:15:08,2025-08-04T22:15:08,active,0.167
P000120,C087,U01974,Law can college care,Far chair describe in. Try school wait never. Entire character quickly sure player western. Same we order reach better performance imagine.,,http://miller.com/,discussion,200,35,2024-05-23T04:42:33,2024-06-05T04:42:33,active,0.466
P000121,C139,U00380,Nice source thought result while example,Threat project half door. End dark spring speak drive. Relationship hand protect matter. Hear responsibility have. Sing hospital ready push material somebody husband. Return wall trouble friend current. Job nor yard establish hit.,,,should,208,306,2024-08-17T06:59:39,2024-08-17T06:59:39,active,0.116
P000122,C103,U02562,Since him southern issue town call computer experience against recently,Forward stuff peace vote meet spring continue.,[inside.jpg],,pick,-131,343,2025-09-23T11:01:34,2025-10-03T11:01:34,active,0.929
P000123,C106,U02181,Follow vote office however such consider table,Law wonder carry.,,,"standard,per,hold,series",330,39,2025-01-10T04:16:44,2025-01-10T04:16:44,active,0.311
P000124,C038,U02448,Enter his value experience,On easy today wait staff feeling first. Degree special laugh include price.,,https://www.woodward.com/,"race,none,all",-230,8,2025-01-15T21:38:18,2025-01-27T21:38:18,active,0.423
P000125,C040,U02421,Many most green cold,Happy near begin usually. Five decide spring price school.,,,"control,lead",167,143,2025-03-23T18:30:20,2025-03-23T18:30:20,flagged,0.042
P000126,C198,U01087,Something employee such,Both create who. Reality in game.,[site.jpg],http://www.ford-anderson.biz/,"instead,investment,rest,game",488,446,2025-06-09T05:42:02,2025-06-09T05:42:02,removed,0.496
P000127,C134,U02277,Crime about everything artist still understand,Spring sport usually as until happen. Probably animal agent charge task condition campaign. Control leg suggest crime international. Feeling whose realize but truth several more physical. Manager clearly along business. Performance go child simply compare result. Population offer piece machine early campaign health past.,,,their,-148,198,2024-11-06T05:51:00,2024-11-06T05:51:00,active,0.896
